parcel_id,latitude,longitude
010190007,40.386109,-111.8540121
010190008,40.386356,-111.8540209
010200001,40.3863416,-111.8524716
010200003,40.38564,-111.853421
010200005,40.3858865,-111.8534334
010200006,40.3857146,-111.8528343
010200007,40.3863715,-111.8534488
010200008,40.3861109,-111.8533122
010320016,40.3880074,-111.8567351
010320017,40.3883005,-111.8553582
010320018,40.3883946,-111.8556539
010320019,40.3883981,-111.855475
010320021,40.3879425,-111.8554802
010320023,40.3886509,-111.8554906
010320025,40.3886402,-111.85567
010470009,40.3898935,-111.8535973
010470010,40.3899021,-111.8527968
010040009,40.3825613,-111.8540486
010040011,40.3826838,-111.8557073
010040015,40.3824218,-111.8554387
010040016,40.3822405,-111.8549306
010310022,40.387332,-111.8557745
010310023,40.3871228,-111.8552961
010320001,40.3880345,-111.8559809
010320013,40.3880269,-111.8562922
010320014,40.3881089,-111.8561564
010320015,40.3877707,-111.8570027
010470001,40.3894285,-111.852853
010330003,40.3884613,-111.8542826
010330008,40.3886986,-111.85418
010330009,40.3886892,-111.8545021
010330010,40.3883004,-111.8551681
010330011,40.3880769,-111.8544597
010330013,40.3879439,-111.8547236
010330014,40.3884154,-111.8547497
010330015,40.3886601,-111.8547665
010500007,40.3905054,-111.8561767
010500008,40.3906323,-111.8563315
010500009,40.3906145,-111.8567825
010500010,40.3906258,-111.8563138
010500012,40.3906828,-111.8563651
010500014,40.391234,-111.8569121
010510001,40.3902924,-111.8543395
010510007,40.3910188,-111.8552069
010510008,40.3910136,-111.854248
010050013,40.383722,-111.8570593
010320026,40.388509,-111.856686
010330002,40.3882847,-111.8541637
010480001,40.3892428,-111.854548
010480002,40.3893952,-111.8542351
010480003,40.3891512,-111.8542214
010480005,40.3892349,-111.8547639
010480006,40.3897409,-111.8543342
010480007,40.3897234,-111.854979
010480008,40.3892471,-111.8548985
010490001,40.389418,-111.8563709
010500004,40.3908797,-111.8558103
010500005,40.3904113,-111.8556741
010050002,40.3867272,-111.8570892
010050003,40.3862978,-111.8571146
010050004,40.385885,-111.8570834
010050005,40.386084,-111.8570935
010050006,40.3865119,-111.8571117
010050007,40.3851375,-111.8570952
010050008,40.3847981,-111.8570896
010050010,40.3839741,-111.8570661
010050011,40.3834851,-111.8572089
010050012,40.385507,-111.8570642
010200009,40.3863398,-111.8531238
010200010,40.3860551,-111.8526336
010200011,40.3858813,-111.8526107
010200012,40.3863323,-111.8527922
010210001,40.3859432,-111.8509413
010210002,40.3856919,-111.8509304
010210003,40.3858117,-111.851282
010210004,40.3857803,-111.8515638
010210005,40.3863014,-111.8515611
010050014,40.3829573,-111.8570968
010050015,40.3834824,-111.8569323
010050018,40.3841868,-111.8570719
010050019,40.3844631,-111.8570826
010060001,40.3833031,-111.8555798
010060002,40.3832903,-111.8562293
010060003,40.3837227,-111.8562566
010210017,40.3862329,-111.8518949
010210018,40.3857429,-111.8518706
010210019,40.3860745,-111.8518565
010220001,40.385746,-111.8493897
010330016,40.3880095,-111.8541092
010340026,40.3880007,-111.8526549
010510009,40.3910069,-111.8545722
010510010,40.3907586,-111.854359
010510011,40.3910059,-111.8548578
010510015,40.3907578,-111.8550326
010510020,40.3902813,-111.8548308
010510021,40.3905391,-111.8543491
010520001,40.3903283,-111.852656
010520002,40.3905758,-111.8528257
010060007,40.3838514,-111.8557939
010060008,40.3836313,-111.8554569
010060009,40.3841146,-111.8553216
010060010,40.3838866,-111.8554663
010060011,40.3838381,-111.8552933
010070008,40.383214,-111.8540648
010070010,40.3835031,-111.8541729
010070011,40.3837437,-111.8540919
010340002,40.388007,-111.8534584
010340005,40.3884836,-111.8534646
010340008,40.3887141,-111.853316
010340009,40.3887073,-111.8535611
010340020,40.3882788,-111.8534204
010340022,40.3880611,-111.8530756
010060005,40.3839762,-111.8562676
010210009,40.3864437,-111.8509756
010210010,40.3861969,-111.8509649
010210015,40.3864155,-111.8512969
010210016,40.3861687,-111.8512862
010070015,40.3832917,-111.8548727
010070016,40.384126,-111.8547565
010070017,40.3839071,-111.8545826
010080006,40.3840409,-111.8523907
010080008,40.3840399,-111.8527164
010080015,40.3831972,-111.8525065
010220014,40.3864515,-111.850086
010230001,40.3857705,-111.8476085
010230002,40.3860129,-111.8477593
010230004,40.386041,-111.8486342
010230005,40.3859076,-111.8488832
010230006,40.3857583,-111.8486582
010230007,40.3857648,-111.848418
010230010,40.3864772,-111.8487401
010230012,40.3857447,-111.8488756
010230014,40.3862536,-111.8487297
010350005,40.3883856,-111.8512021
010350006,40.3882512,-111.8511964
010350007,40.3880353,-111.8512745
010350008,40.3880497,-111.8515546
010220002,40.3857378,-111.8497111
010220004,40.3862008,-111.8502083
010220006,40.386481,-111.8497347
010220007,40.3864891,-111.8494179
010220008,40.3862622,-111.849566
010220009,40.3860091,-111.8495539
